stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745869644.858196,-2.043449,-0.014308,-0.091259,-5.341617,0.242775,-0.080240,-8.861651,1.773891,-0.021230,-26.724830,6.245868,-0.900387,-26.651124,-3.645100,-5.151722,-2.665112,0.000000,0.000000,1642,2057,2057
1745869644.863190,-2.138105,-0.017480,-0.093378,-5.495643,0.252479,-0.092507,-11.778523,1.916272,-0.173733,-35.542923,6.659659,-0.845418,-35.452680,-4.291645,-5.162917,-3.545268,0.000000,0.000000,1516,2057,2057
1745869644.868190,-2.185943,-0.019057,-0.094211,-5.227726,0.201530,-0.082563,-5.621436,0.523855,-0.005452,-16.950516,2.883667,-0.289405,-16.908813,-1.900455,-2.188447,-1.690881,0.000000,0.000000,1782,2057,2057
1745869644.873190,-2.234202,-0.020741,-0.095222,-5.346693,0.180137,-0.088567,-3.952429,-0.945467,-0.045434,-11.919368,-0.657563,-0.371318,-11.934858,0.112368,0.746914,-1.193486,0.000000,0.000000,1853,2057,2057
1745869644.878192,-2.234202,-0.020741,-0.095222,-5.346693,0.180137,-0.088567,-2.412180,-1.759109,-0.065159,-7.262235,-2.515616,-0.552775,-7.310412,1.113594,2.322954,-0.731041,0.000000,0.000000,1919,2057,2057
1745869644.883188,-2.234202,-0.020741,-0.095222,-5.346693,0.180137,-0.088567,-1.144032,-2.057637,-0.069640,-3.426934,-3.195585,-0.595993,-3.486776,1.498269,2.885437,-0.348678,0.000000,0.000000,1974,2057,2057
1745869644.888193,-2.281407,-0.022402,-0.096074,-5.270810,0.225380,-0.069028,1.661390,-0.885095,0.415270,5.097389,-0.051425,0.609415,5.105422,0.495459,-0.358632,0.510542,0.000000,0.000000,2129,2057,2057
1745869644.893190,-2.328430,-0.023817,-0.096526,-5.057602,0.045772,-0.088691,8.449002,-4.434437,0.188964,25.546662,-9.471395,0.245178,25.386772,6.686900,6.714043,2.538677,0.000000,0.000000,2416,2057,2057
1745869644.898192,-2.328430,-0.023817,-0.096526,-5.057602,0.045772,-0.088691,11.712352,-6.138890,0.022516,35.409084,-13.263353,-0.408170,35.172879,8.818117,9.918656,3.517288,0.000000,0.000000,2555,2057,2057
1745869644.903192,-2.328430,-0.023817,-0.096526,-5.057602,0.045772,-0.088691,12.340120,-6.464139,-0.085470,37.304162,-14.004184,-0.697634,37.050398,9.116934,10.655973,3.705040,0.000000,0.000000,2581,2057,2057
1745869644.908192,-2.375030,-0.025927,-0.097505,-5.242668,0.269537,-0.059096,6.691347,-0.395679,0.581791,20.342892,1.403383,1.467940,20.395557,0.007401,-2.031515,2.039556,0.000000,0.000000,2345,2057,2057
1745869644.913194,-2.419881,-0.027194,-0.097401,-4.858193,0.076849,-0.111044,11.720273,-1.230133,-0.340496,35.424125,-2.375444,0.124744,35.383984,1.865603,1.476289,3.538398,0.000000,0.000000,2558,2057,2057
1745869644.918195,-2.419881,-0.027194,-0.097401,-4.858193,0.076849,-0.111044,13.463353,-1.606942,-0.881863,40.677863,-3.296973,-1.115705,40.595833,1.737845,3.016861,4.059583,0.000000,0.000000,2631,2057,2057
1745869644.923194,-2.465047,-0.029189,-0.098109,-5.137085,0.199451,-0.067251,6.084324,1.355065,-0.043366,18.439027,4.189822,0.921247,18.536591,-2.690178,-3.343017,1.853659,0.000000,0.000000,2319,2057,2057
1745869644.928191,-2.465047,-0.029189,-0.098109,-5.137085,0.199451,-0.067251,0.674252,3.061855,0.492066,2.099487,7.874662,2.332513,2.296539,-4.679799,-6.751980,0.229654,0.000000,0.000000,2089,2057,2057
1745869644.933196,-2.509972,-0.030820,-0.097923,-4.949629,0.188212,-0.127512,1.760803,3.492443,-0.706768,5.313498,7.943210,0.255593,5.464450,-6.259822,-4.898706,0.546445,0.000000,0.000000,2134,2057,2057
1745869644.938199,-2.509972,-0.030820,-0.097923,-4.949629,0.188212,-0.127512,2.231527,3.336114,-1.377777,6.712735,7.476876,-1.310463,6.816232,-6.808141,-3.358708,0.681623,0.000000,0.000000,2153,2057,2057
1745869644.943206,-2.509972,-0.030820,-0.097923,-4.949629,0.188212,-0.127512,2.255524,2.827686,-1.633324,6.774928,6.373229,-2.009511,6.840943,-6.330175,-2.142296,0.684094,0.000000,0.000000,2154,2057,2057
1745869644.948193,-2.509972,-0.030820,-0.097923,-4.949629,0.188212,-0.127512,1.994651,2.161561,-1.594377,5.985729,5.007386,-2.072988,6.025301,-5.265322,-1.284190,0.602530,0.000000,0.000000,2142,2057,2057
1745869644.953215,-2.601584,-0.034175,-0.098157,-4.990052,0.170509,-0.100419,0.588843,1.035981,-0.707194,1.756593,2.573280,-0.416388,1.789616,-2.421196,-0.966462,0.178962,0.000000,0.000000,2082,2057,2057
1745869644.958205,-2.601584,-0.034175,-0.098157,-4.990052,0.170509,-0.100419,-0.365455,0.202594,-0.063747,-1.106186,1.037754,0.908643,-1.061300,-0.422913,-1.313668,-0.106130,0.000000,0.000000,2008,2057,2057
1745869644.963197,-2.648740,-0.035860,-0.098221,-5.228683,0.158486,-0.094714,-6.762510,-0.644006,0.491073,-20.434336,-0.686459,1.872878,-20.386795,1.490896,-1.326041,-2.038680,0.000000,0.000000,1732,2057,2057
1745869644.968201,-2.648740,-0.035860,-0.098221,-5.228683,0.158486,-0.094714,-9.992820,-1.102229,0.782922,-30.191625,-1.538250,2.357694,-30.143219,2.470700,-1.350156,-3.014322,0.000000,0.000000,1592,2057,2057
